Date and Time,Time (s),Absolute Pressure (kPa),Temperature (°C),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Volume (m³)
05/28/2019 09:12:27 am,0.01,99.718,24.04,0,,,0,,,3.14E-04
05/28/2019 09:12:27 am,0.02,99.728,24.04,0,0,,0,0,,3.14E-04
05/28/2019 09:12:27 am,0.03,99.726,24.04,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.04,99.702,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.05,99.724,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.06,99.709,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.07,99.737,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.08,99.748,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.09,99.707,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.1,99.726,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.11,99.696,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.12,99.739,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.13,99.687,24.04,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.14,99.709,24.04,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.15,99.696,24.04,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.16,99.774,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.17,99.731,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.18,99.7,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.19,99.724,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.2,99.715,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.21,99.737,24.04,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.22,99.709,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.23,99.739,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.24,99.739,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.25,99.733,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.26,99.707,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.27,99.754,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.28,99.731,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.29,99.737,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.3,99.715,24.04,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.31,99.735,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.32,99.724,24.04,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.33,99.713,24.03,0,0,0,0,0,0,3.14E-04
05/28/2019 09:12:27 am,0.34,99.709,24.04,0,0,0,0,0,0,3.14E-04
